productId,productName,size,price,color,brand,description,model info,composition,Measure,other info,pic1,pic2,pic3
1,Animal Print Bodysuit,S,$49.00,Red,Zara,Flowy bodysuit with wrap V-neckline and long sleeves. Bottom snap button closure.,Model Height: 177 cm wearing a size S,"Outer Shell: Main Fabric: 100% polyester; Secondary Fabric: 82% polyamide, 18% elastane",,,image 1_1,image 1_2,image 1_3
2,Animal Print Bodysuit,M,$49.00,Red,Zara,Flowy bodysuit with wrap V-neckline and long sleeves. Bottom snap button closure.,Model Height: 177 cm wearing a size S,"Outer Shell: Main Fabric: 100% polyester; Secondary Fabric: 82% polyamide, 18% elastane",,,image 1_1,image 1_2,image 1_3
3,Animal Print Bodysuit,L,$49.00,Red,Zara,Flowy bodysuit with wrap V-neckline and long sleeves. Bottom snap button closure.,Model Height: 177 cm wearing a size S,"Outer Shell: Main Fabric: 100% polyester; Secondary Fabric: 82% polyamide, 18% elastane",,,image 1_1,image 1_2,image 1_3
4,Animal Print Bodysuit,XL,$49.00,Red,Zara,Flowy bodysuit with wrap V-neckline and long sleeves. Bottom snap button closure.,Model Height: 177 cm wearing a size S,"Outer Shell: Main Fabric: 100% polyester; Secondary Fabric: 82% polyamide, 18% elastane",,,image 1_1,image 1_2,image 1_3
5,Floral Printed Bodysuit,S,$39.90,Multicolored,Zara,Flowy bodysuit with wrap V-neckline and long sleeves. Draped knot detail at waist. Bottom snap button closure.,Model Height: 178 cm wearing a size S,"Outer Shell: 94% polyester, 6% elastane",,,image 1_a1,image 1_a2,image 1_a3
6,Floral Printed Bodysuit,M,$39.90,Multicolored,Zara,Flowy bodysuit with wrap V-neckline and long sleeves. Draped knot detail at waist. Bottom snap button closure.,Model Height: 178 cm wearing a size S,"Outer Shell: 94% polyester, 6% elastane",,,image 1_a1,image 1_a2,image 1_a3
7,Floral Printed Bodysuit,L,$39.90,Multicolored,Zara,Flowy bodysuit with wrap V-neckline and long sleeves. Draped knot detail at waist. Bottom snap button closure.,Model Height: 178 cm wearing a size S,"Outer Shell: 94% polyester, 6% elastane",,,image 1_a1,image 1_a2,image 1_a3
8,Floral Printed Bodysuit,XL,$39.90,Multicolored,Zara,Flowy bodysuit with wrap V-neckline and long sleeves. Draped knot detail at waist. Bottom snap button closure.,Model Height: 178 cm wearing a size S,"Outer Shell: 94% polyester, 6% elastane",,,image 1_a1,image 1_a2,image 1_a3
9,Polka Dot Bodysuit,S,$49.90,Black,Zara,Flowy bodysuit with deep V-neckline and long sleeves with tied cuffs. Bottom snap button closure.,Model Height: 177 cm wearing a size M,"Outer Shell: Main Fabric: 100% polyester; Secondary Fabric: 85% polyester,15% elastane",,,image 1_b1,image 1_b2,image 1_b3
10,Polka Dot Bodysuit,M,$49.90,Black,Zara,Flowy bodysuit with deep V-neckline and long sleeves with tied cuffs. Bottom snap button closure.,Model Height: 177 cm wearing a size M,"Outer Shell: Main Fabric: 100% polyester; Secondary Fabric: 85% polyester,15% elastane",,,image 1_b1,image 1_b2,image 1_b3
11,Polka Dot Bodysuit,L,$49.90,Black,Zara,Flowy bodysuit with deep V-neckline and long sleeves with tied cuffs. Bottom snap button closure.,Model Height: 177 cm wearing a size M,"Outer Shell: Main Fabric: 100% polyester; Secondary Fabric: 85% polyester,15% elastane",,,image 1_b1,image 1_b2,image 1_b3
12,Polka Dot Bodysuit,XL,$49.90,Black,Zara,Flowy bodysuit with deep V-neckline and long sleeves with tied cuffs. Bottom snap button closure.,Model Height: 177 cm wearing a size M,"Outer Shell: Main Fabric: 100% polyester; Secondary Fabric: 85% polyester,15% elastane",,,image 1_b1,image 1_b2,image 1_b3
13,Sparkly Velvet Bodysuit,S,$49.90,Black,Zara,Wrap-front V-neck bodysuit with long sleeves. Bottom snap button closure.,Model Height: 177 cm wearing a size S,"Outer Shell: Main Fabric: 94% polyester, 6% elastane; Secondary Fabric: 94% polyester, 6% elastane",,,image 1_c1,image 1_c2,image 1_c3
14,Sparkly Velvet Bodysuit,M,$49.90,Black,Zara,Wrap-front V-neck bodysuit with long sleeves. Bottom snap button closure.,Model Height: 177 cm wearing a size S,"Outer Shell: Main Fabric: 94% polyester, 6% elastane; Secondary Fabric: 94% polyester, 6% elastane",,,image 1_c1,image 1_c2,image 1_c3
15,Sparkly Velvet Bodysuit,L,$49.90,Black,Zara,Wrap-front V-neck bodysuit with long sleeves. Bottom snap button closure.,Model Height: 177 cm wearing a size S,"Outer Shell: Main Fabric: 94% polyester, 6% elastane; Secondary Fabric: 94% polyester, 6% elastane",,,image 1_c1,image 1_c2,image 1_c3
16,Sparkly Velvet Bodysuit,XL,$49.90,Black,Zara,Wrap-front V-neck bodysuit with long sleeves. Bottom snap button closure.,Model Height: 177 cm wearing a size S,"Outer Shell: Main Fabric: 94% polyester, 6% elastane; Secondary Fabric: 94% polyester, 6% elastane",,,image 1_c1,image 1_c2,image 1_c3
17,Faux Fur Biker Jacket,S,$149.00,Ecru,Zara,Lapel collar coat with belt detail and long sleeves with zipped cuffs. Front zip pockets. Side belt detail at hem. Front zip closure.,Model Height: 178 cm wearing a size S,"Outer Shell: Main Fabric: 47% modacrylic, 29% acrylic, 24% polyamide; Collar: 89% acrylic, 11% polyester; Embellishment: 100% polyester; Lining: 100% polyester",,,image 2_1,image 2_2,image 2_3
18,Faux Fur Biker Jacket,M,$149.00,Ecru,Zara,Lapel collar coat with belt detail and long sleeves with zipped cuffs. Front zip pockets. Side belt detail at hem. Front zip closure.,Model Height: 178 cm wearing a size S,"Outer Shell: Main Fabric: 47% modacrylic, 29% acrylic, 24% polyamide; Collar: 89% acrylic, 11% polyester; Embellishment: 100% polyester; Lining: 100% polyester",,,image 2_1,image 2_2,image 2_3
19,Faux Fur Biker Jacket,L,$149.00,Ecru,Zara,Lapel collar coat with belt detail and long sleeves with zipped cuffs. Front zip pockets. Side belt detail at hem. Front zip closure.,Model Height: 178 cm wearing a size S,"Outer Shell: Main Fabric: 47% modacrylic, 29% acrylic, 24% polyamide; Collar: 89% acrylic, 11% polyester; Embellishment: 100% polyester; Lining: 100% polyester",,,image 2_1,image 2_2,image 2_3
20,Faux Fur Biker Jacket,XL,$149.00,Ecru,Zara,Lapel collar coat with belt detail and long sleeves with zipped cuffs. Front zip pockets. Side belt detail at hem. Front zip closure.,Model Height: 178 cm wearing a size S,"Outer Shell: Main Fabric: 47% modacrylic, 29% acrylic, 24% polyamide; Collar: 89% acrylic, 11% polyester; Embellishment: 100% polyester; Lining: 100% polyester",,,image 2_1,image 2_2,image 2_3
21,Quilted Textured Jacket,S,$99.90,Ecru,Zara,Quilted jacket with faux fur exterior. High collar and long sleeves. Front welt pockets. Front zip closure.,Model Height: 178 cm wearing a size S,"Outer Shell: 100% polyester; Lining: 94% polyester, 6% elastane; Filling: 100% polyester",,,image 2_a1,image 2_a2,image 2_a3
22,Quilted Textured Jacket,M,$99.90,Ecru,Zara,Quilted jacket with faux fur exterior. High collar and long sleeves. Front welt pockets. Front zip closure.,Model Height: 178 cm wearing a size S,"Outer Shell: 100% polyester; Lining: 94% polyester, 6% elastane; Filling: 100% polyester",,,image 2_a1,image 2_a2,image 2_a3
23,Quilted Textured Jacket,L,$99.90,Ecru,Zara,Quilted jacket with faux fur exterior. High collar and long sleeves. Front welt pockets. Front zip closure.,Model Height: 178 cm wearing a size S,"Outer Shell: 100% polyester; Lining: 94% polyester, 6% elastane; Filling: 100% polyester",,,image 2_a1,image 2_a2,image 2_a3
24,Quilted Textured Jacket,XL,$99.90,Ecru,Zara,Quilted jacket with faux fur exterior. High collar and long sleeves. Front welt pockets. Front zip closure.,Model Height: 178 cm wearing a size S,"Outer Shell: 100% polyester; Lining: 94% polyester, 6% elastane; Filling: 100% polyester",,,image 2_a1,image 2_a2,image 2_a3
25,Suede Look Coat,S,$49.90,Off-White,Zara,Coat with lapel collar and long sleeves. Hidden side in-seam pockets.,Model Height: 178 cm wearing a size S,"Outer Shell: Main Fabric: 85% polyester, 15% elastane; Secondary Fabric: 100% polyester",,,image 2_b1,image 2_b2,image 2_b3
26,Suede Look Coat,M,$49.90,Off-White,Zara,Coat with lapel collar and long sleeves. Hidden side in-seam pockets.,Model Height: 178 cm wearing a size S,"Outer Shell: Main Fabric: 85% polyester, 15% elastane; Secondary Fabric: 100% polyester",,,image 2_b1,image 2_b2,image 2_b3
27,Suede Look Coat,L,$49.90,Off-White,Zara,Coat with lapel collar and long sleeves. Hidden side in-seam pockets.,Model Height: 178 cm wearing a size S,"Outer Shell: Main Fabric: 85% polyester, 15% elastane; Secondary Fabric: 100% polyester",,,image 2_b1,image 2_b2,image 2_b3
28,Suede Look Coat,XL,$49.90,Off-White,Zara,Coat with lapel collar and long sleeves. Hidden side in-seam pockets.,Model Height: 178 cm wearing a size S,"Outer Shell: Main Fabric: 85% polyester, 15% elastane; Secondary Fabric: 100% polyester",,,image 2_b1,image 2_b2,image 2_b3
29,Fleece Bomber,XS,$69.90,Ecru,Zara,High collar bomber jacket with long sleeves. Front zip closure and side pockets. Elasticized cuffs and hem. Quilted interior lining.,Model Height: 177 cm wearing a size S,"Outer Shell: Main Fabric: 100% polyester; Details: 97% polyester, 3% elastane; Lining: 100% polyester",,,image 2_c1,image 2_c2,image 2_c3
30,Fleece Bomber,S,$69.90,Ecru,Zara,High collar bomber jacket with long sleeves. Front zip closure and side pockets. Elasticized cuffs and hem. Quilted interior lining.,Model Height: 177 cm wearing a size S,"Outer Shell: Main Fabric: 100% polyester; Details: 97% polyester, 3% elastane; Lining: 100% polyester",,,image 2_c1,image 2_c2,image 2_c3
31,Fleece Bomber,M,$69.90,Ecru,Zara,High collar bomber jacket with long sleeves. Front zip closure and side pockets. Elasticized cuffs and hem. Quilted interior lining.,Model Height: 177 cm wearing a size S,"Outer Shell: Main Fabric: 100% polyester; Details: 97% polyester, 3% elastane; Lining: 100% polyester",,,image 2_c1,image 2_c2,image 2_c3
32,Fleece Bomber,L,$69.90,Ecru,Zara,High collar bomber jacket with long sleeves. Front zip closure and side pockets. Elasticized cuffs and hem. Quilted interior lining.,Model Height: 177 cm wearing a size S,"Outer Shell: Main Fabric: 100% polyester; Details: 97% polyester, 3% elastane; Lining: 100% polyester",,,image 2_c1,image 2_c2,image 2_c3
33,Fleece Bomber,XL,$69.90,Ecru,Zara,High collar bomber jacket with long sleeves. Front zip closure and side pockets. Elasticized cuffs and hem. Quilted interior lining.,Model Height: 177 cm wearing a size S,"Outer Shell: Main Fabric: 100% polyester; Details: 97% polyester, 3% elastane; Lining: 100% polyester",,,image 2_c1,image 2_c2,image 2_c3
34,Fleece Bomber,XXL,$69.90,Ecru,Zara,High collar bomber jacket with long sleeves. Front zip closure and side pockets. Elasticized cuffs and hem. Quilted interior lining.,Model Height: 177 cm wearing a size S,"Outer Shell: Main Fabric: 100% polyester; Details: 97% polyester, 3% elastane; Lining: 100% polyester",,,image 2_c1,image 2_c2,image 2_c3
35,Embroidered Skyline Cashmere Poncho,XS,"$2,290.00",Camel,Burberry,A cocooning cashmere poncho embroidered with a city skyline and ‘Burberrys’ logo found in our archive.,,Outer: 100% cashmere; Embroidery: 100% polyester,80.5 x 119.5cm/31.7 x 47in,Specialist dry clean; Made in Italy,image 8_camel_1,image 8_camel_2,image 8_camel_3
36,Embroidered Skyline Cashmere Poncho,M,"$2,290.00",Camel,Burberry,A cocooning cashmere poncho embroidered with a city skyline and ‘Burberrys’ logo found in our archive.,,Outer: 100% cashmere; Embroidery: 100% polyester,80.5 x 119.5cm/31.7 x 47in,Specialist dry clean; Made in Italy,image 8_camel_1,image 8_camel_2,image 8_camel_3
37,Embroidered Skyline Cashmere Poncho,XS,"$2,290.00",Pale Grey Melange,Burberry,A cocooning cashmere poncho embroidered with a city skyline and ‘Burberrys’ logo found in our archive.,,Outer: 100% cashmere; Embroidery: 100% polyester,80.5 x 119.5cm/31.7 x 47in,Specialist dry clean; Made in Italy,image 8_grey_1,image 8_grey_2,image 8_grey_3
38,Embroidered Skyline Cashmere Poncho,M,"$2,290.00",Pale Grey Melange,Burberry,A cocooning cashmere poncho embroidered with a city skyline and ‘Burberrys’ logo found in our archive.,,Outer: 100% cashmere; Embroidery: 100% polyester,80.5 x 119.5cm/31.7 x 47in,Specialist dry clean; Made in Italy,image 8_grey_1,image 8_grey_2,image 8_grey_3
39,Embroidered Skyline Cashmere Poncho,XS,"$2,290.00",Hydrangea Blue,Burberry,A cocooning cashmere poncho embroidered with a city skyline and ‘Burberrys’ logo found in our archive.,,Outer: 100% cashmere; Embroidery: 100% polyester,80.5 x 119.5cm/31.7 x 47in,Specialist dry clean; Made in Italy,image 8_blue_1,image 8_blue_2,image 8_blue_3
40,Embroidered Skyline Cashmere Poncho,M,"$2,290.00",Hydrangea Blue,Burberry,A cocooning cashmere poncho embroidered with a city skyline and ‘Burberrys’ logo found in our archive.,,Outer: 100% cashmere; Embroidery: 100% polyester,80.5 x 119.5cm/31.7 x 47in,Specialist dry clean; Made in Italy,image 8_blue_1,image 8_blue_2,image 8_blue_3
41,Faux Fur Cape,XS,"$1,750.00",Navy,Burberry,"A collared cape shaped from super-soft faux fur with side slits, and lined in our Vintage check.",Model’s Height: 175cm wearing a size XS/S,Outer: 100% polyester; Lining: 100% cotton; Hook-and-eye collar closure,77cm/30.3in,Machine wash; Made in Italy,image 8_a_navy_1,image 8_a_navy_2,image 8_a_navy_3
42,Faux Fur Cape,M,"$1,750.00",Navy,Burberry,"A collared cape shaped from super-soft faux fur with side slits, and lined in our Vintage check.",Model’s Height: 175cm wearing a size XS/S,Outer: 100% polyester; Lining: 100% cotton; Hook-and-eye collar closure,77cm/30.3in,Machine wash; Made in Italy,image 8_a_navy_1,image 8_a_navy_2,image 8_a_navy_3
43,Faux Fur Cape,XS,"$1,750.00",Camel,Burberry,"A collared cape shaped from super-soft faux fur with side slits, and lined in our Vintage check.",Model’s Height: 175cm wearing a size XS/S,Outer: 100% polyester; Lining: 100% cotton; Hook-and-eye collar closure,77cm/30.3in,Machine wash; Made in Italy,image 8_a_camel_1,image 8_a_camel_2,image 8_a_camel_3
44,Faux Fur Cape,M,"$1,750.00",Camel,Burberry,"A collared cape shaped from super-soft faux fur with side slits, and lined in our Vintage check.",Model’s Height: 175cm wearing a size XS/S,Outer: 100% polyester; Lining: 100% cotton; Hook-and-eye collar closure,77cm/30.3in,Machine wash; Made in Italy,image 8_a_camel_1,image 8_a_camel_2,image 8_a_camel_3
45,Faux Fur Cape,XS,"$1,750.00",Burgundy,Burberry,"A collared cape shaped from super-soft faux fur with side slits, and lined in our Vintage check.",Model’s Height: 175cm wearing a size XS/S,Outer: 100% polyester; Lining: 100% cotton; Hook-and-eye collar closure,77cm/30.3in,Machine wash; Made in Italy,image 8_a_red_1,image 8_a_red_2,image 8_a_red_3
46,Faux Fur Cape,M,"$1,750.00",Burgundy,Burberry,"A collared cape shaped from super-soft faux fur with side slits, and lined in our Vintage check.",Model’s Height: 175cm wearing a size XS/S,Outer: 100% polyester; Lining: 100% cotton; Hook-and-eye collar closure,77cm/30.3in,Machine wash; Made in Italy,image 8_a_red_1,image 8_a_red_2,image 8_a_red_3
47,Embroidered Archive Logo Jersey Sweatshirt,XS,$450.00,Pale Apricot,Burberry,A loopback jersey sweatshirt embroidered with a ‘Burberrys’ archive logo.,,100% cotton,,Machine Wash; Imported,image 10_pink_1,image 10_pink_2,image 10_pink_3
48,Embroidered Archive Logo Jersey Sweatshirt,S,$450.00,Pale Apricot,Burberry,A loopback jersey sweatshirt embroidered with a ‘Burberrys’ archive logo.,,100% cotton,,Machine Wash; Imported,image 10_pink_1,image 10_pink_2,image 10_pink_3
49,Embroidered Archive Logo Jersey Sweatshirt,M,$450.00,Pale Apricot,Burberry,A loopback jersey sweatshirt embroidered with a ‘Burberrys’ archive logo.,,100% cotton,,Machine Wash; Imported,image 10_pink_1,image 10_pink_2,image 10_pink_3
50,Embroidered Archive Logo Jersey Sweatshirt,L,$450.00,Pale Apricot,Burberry,A loopback jersey sweatshirt embroidered with a ‘Burberrys’ archive logo.,,100% cotton,,Machine Wash; Imported,image 10_pink_1,image 10_pink_2,image 10_pink_3
51,Embroidered Archive Logo Jersey Sweatshirt,XL,$450.00,Pale Apricot,Burberry,A loopback jersey sweatshirt embroidered with a ‘Burberrys’ archive logo.,,100% cotton,,Machine Wash; Imported,image 10_pink_1,image 10_pink_2,image 10_pink_3
